iter	Passed	Remaining
573	2918	2166
574	2924	2161
575	2929	2156
576	2933	2150
577	2937	2144
578	2941	2138
579	2945	2133
580	2949	2127
581	2953	2121
582	2957	2115
583	2961	2109
584	2966	2104
585	2970	2098
586	2975	2093
587	2981	2088
588	2986	2083
589	2991	2078
590	2996	2073
591	3001	2068
592	3006	2063
593	3012	2059
594	3017	2053
595	3023	2049
596	3027	2043
597	3033	2039
598	3038	2034
599	3044	2029
600	3049	2024
601	3053	2018
602	3057	2012
603	3061	2007
604	3065	2001
605	3070	1996
606	3074	1990
607	3078	1984
608	3082	1979
609	3086	1973
610	3090	1967
611	3095	1962
612	3099	1956
613	3103	1951
614	3107	1945
615	3111	1939
616	3115	1934
617	3120	1928
618	3124	1922
619	3128	1917
620	3132	1911
621	3136	1906
622	3140	1900
623	3145	1895
624	3149	1889
625	3153	1883
626	3157	1878
627	3161	1872
628	3166	1867
629	3170	1861
630	3174	1856
631	3178	1850
632	3182	1845
633	3186	1839
634	3190	1834
635	3195	1828
636	3199	1823
637	3203	1817
638	3207	1812
639	3211	1806
640	3218	1802
641	3223	1797
642	3229	1792
643	3236	1788
644	3241	1784
645	3246	1779
646	3252	1774
647	3258	1769
648	3264	1765
649	3269	1760
650	3274	1755
651	3280	1750
652	3285	1746
653	3292	1741
654	3298	1737
655	3305	1733
656	3316	1731
657	3326	1728
658	3336	1726
659	3344	1722
660	3352	1719
661	3359	1715
662	3368	1712
663	3374	1707
664	3380	1702
665	3386	1698
666	3391	1693
667	3397	1688
668	3402	1683
669	3407	1678
670	3413	1673
671	3418	1668
672	3424	1664
673	3430	1659
674	3435	1654
675	3440	1648
676	3445	1643
677	3449	1638
678	3453	1632
679	3457	1627
680	3461	1621
681	3465	1616
682	3470	1610
683	3474	1605
684	3478	1599
685	3482	1594
686	3486	1588
687	3491	1583
688	3495	1577
689	3499	1572
690	3503	1566
691	3507	1561
692	3511	1555
693	3515	1550
694	3519	1544
695	3524	1539
696	3528	1533
697	3534	1529
698	3539	1524
699	3545	1519
700	3551	1514
701	3556	1509
702	3563	1505
703	3569	1500
704	3576	1496
705	3583	1492
706	3590	1488
707	3601	1485
708	3607	1480
709	3612	1475
710	3618	1470
711	3624	1465
712	3630	1461
713	3635	1456
714	3641	1451
715	3647	1446
716	3652	1441
717	3659	1437
718	3666	1432
719	3671	1427
720	3677	1422
721	3683	1418
722	3690	1413
723	3699	1410
724	3704	1405
725	3708	1399
726	3715	1395
727	3725	1391
728	3729	1386
729	3734	1381
730	3738	1375
731	3742	1370
732	3746	1364
733	3750	1359
734	3755	1353
735	3759	1348
736	3763	1343
737	3768	1337
738	3772	1332
739	3777	1327
740	3781	1321
741	3785	1316
742	3789	1310
743	3794	1305
744	3798	1300
745	3802	1294
746	3806	1289
747	3811	1283
748	3815	1278
749	3819	1273
750	3823	1267
751	3827	1262
752	3836	1258
753	3843	1253
754	3848	1248
755	3852	1243
756	3856	1238
757	3915	1250
758	3978	1263
759	3984	1258
760	3991	1253
761	4009	1252
762	4018	1248
763	4026	1243
764	4036	1239
765	4046	1236
766	4053	1231
767	4059	1226
768	4065	1221
769	4070	1215
770	4076	1210
771	4082	1205
772	4087	1200
773	4093	1195
774	4098	1189
775	4104	1184
776	4109	1179
777	4114	1174
778	4118	1168
779	4123	1162
780	4127	1157
781	4131	1151
782	4135	1146
783	4139	1140
784	4144	1134
785	4148	1129
786	4153	1124
787	4157	1118
788	4161	1112
789	4165	1107
790	4169	1101
791	4174	1096
792	4178	1090
793	4182	1085
794	4186	1079
795	4191	1074
796	4195	1068
797	4200	1063
798	4204	1057
799	4208	1052
800	4212	1046
801	4216	1041
802	4221	1035
803	4225	1030
804	4229	1024
805	4233	1019
806	4237	1013
807	4241	1007
808	4245	1002
809	4250	997
810	4254	991
811	4258	986
812	4263	980
813	4267	975
814	4271	969
815	4275	964
816	4279	958
817	4283	953
818	4288	947
819	4292	942
820	4296	936
821	4300	931
822	4304	925
823	4309	920
824	4313	914
825	4317	909
826	4321	904
827	4326	898
828	4330	893
829	4334	887
830	4338	882
831	4369	882
832	4385	879
833	4396	874
834	4406	870
835	4417	866
836	4426	861
837	4436	857
838	4442	852
839	4447	847
840	4452	841
841	4458	836
842	4464	831
843	4470	826
844	4477	821
845	4486	816
846	4493	811
847	4501	806
848	4509	802
849	4518	797
850	4526	792
851	4534	787
852	4540	782
853	4546	777
854	4552	772
855	4558	766
856	4563	761
857	4569	756
858	4575	750
859	4581	745
860	4587	740
861	4592	735
862	4599	730
863	4604	724
864	4610	719
865	4616	714
866	4622	709
867	4628	703
868	4633	698
869	4638	693
870	4642	687
871	4646	682
872	4651	676
873	4655	671
874	4659	665
875	4663	660
876	4668	654
877	4672	649
878	4677	643
879	4682	638
880	4686	633
881	4690	627
882	4695	622
883	4699	616
884	4703	611
885	4707	605
886	4712	600
887	4716	594
888	4720	589
889	4724	583
890	4728	578
891	4732	573
892	4736	567
893	4741	562
894	4745	556
895	4750	551
896	4754	545
897	4758	540
898	4764	535
899	4768	529
900	4772	524
901	4776	518
902	4782	513
903	4788	508
904	4793	503
905	4797	497
906	4801	492
907	4805	486
908	4809	481
909	4813	476
910	4818	470
911	4822	465
912	4827	459
913	4831	454
914	4835	449
915	4839	443
916	4843	438
917	4847	433
918	4852	427
919	4856	422
920	4860	416
921	4864	411
922	4868	406
923	4872	400
924	4876	395
925	4880	390
926	4885	384
927	4889	379
928	4901	374
929	4958	373
930	4963	367
931	4969	362
932	4975	357
933	4980	351
934	4987	346
935	4991	341
936	4995	335
937	4999	330
938	5004	325
939	5008	319
940	5012	314
941	5016	308
942	5020	303
943	5024	298
944	5028	292
945	5033	287
946	5037	281
947	5041	276
948	5045	271
949	5050	265
950	5054	260
951	5058	255
952	5062	249
953	5066	244
954	5071	238
955	5075	233
956	5079	228
957	5083	222
958	5087	217
959	5092	212
960	5096	206
961	5100	201
962	5104	196
963	5108	190
964	5112	185
965	5116	180
966	5120	174
967	5124	169
968	5130	164
969	5136	158
970	5141	153
971	5147	148
972	5153	142
973	5158	137
974	5164	132
975	5172	127
976	5179	121
977	5185	116
978	5191	111
979	5196	106
980	5202	100
981	5207	95
982	5213	90
983	5219	84
984	5225	79
985	5232	74
986	5239	69
987	5245	63
988	5252	58
989	5257	53
990	5263	47
991	5269	42
992	5275	37
993	5282	31
994	5289	26
995	5294	21
996	5300	15
997	5305	10
998	5310	5
999	5315	0
